Customer_ID,Age,Gender,Location,Device_Type,Signup_Date,Session_Count,Avg_Session_Duration,Pages_Viewed,Product_Views,Add_to_Cart_Count,Total_Purchases,Total_Spend,Avg_Order_Value,Last_Purchase_Date,Recency,Frequency,Monetary,Engagement_Level,Purchase_Probability,Product_Category,Product_ID,Interaction_Score
CUST000001,37.0,Other,Delhi,,2022-09-14,104,16,45,35,9,2,124.39,57.12,2024-12-29,2,2,124.39,Low,0.33,Home,PROD81125,0.37
CUST000002,27.0,Female,,Mobile,2022-11-28,110,10,40,18,3,0,0.0,29.5,2024-05-31,214,0,0.0,Low,0.43,Fashion,PROD42831,0.33
CUST000003,39.0,Female,Bangalore,Mobile,2023-09-15,47,22,1,2,3,0,0.0,19.85,2024-01-15,351,0,0.0,Very Low,0.0,Fashion,PROD57273,0.21
CUST000004,25.0,Female,Hyderabad,Desktop,2023-09-19,109,25,37,22,5,0,0.0,59.51,2024-06-11,203,0,0.0,Very Low,0.24,Beauty,PROD54054,0.42
CUST000005,,Female,Bangalore,Mobile,2021-02-28,69,23,7,0,5,0,0.0,34.61,2024-03-22,284,0,0.0,Very Low,0.46,Books,PROD50143,0.29
CUST000006,40.0,Male,Mumbai,Mobile,2023-02-27,105,15,50,47,2,0,0.0,44.7,2024-02-08,327,0,0.0,Low,0.11,Beauty,PROD44569,0.43
CUST000007,19.0,Female,,Mobile,2021-03-15,50,14,1,0,3,3,336.9,114.89,2024-12-25,6,3,336.9,Low,0.21,Fashion,PROD36251,0.1
CUST000008,49.0,Male,Mumbai,Mobile,2021-11-26,67,21,22,20,2,0,0.0,55.57,2024-02-17,318,0,0.0,Very Low,0.11,Electronics,PROD49039,0.31
CUST000009,27.0,Female,Delhi,Mobile,2022-03-22,85,11,28,10,4,1,254.08343274760583,109.08468884052553,2024-07-04,180,1,254.08343274760583,Low,0.0,Books,PROD10108,0.26
CUST000010,39.0,Male,Chennai,Mobile,2023-08-01,123,16,48,23,12,0,0.0,25.38,2024-02-11,324,0,0.0,Low,0.38,Fashion,PROD66994,0.47
CUST000011,41.0,Male,Bangalore,Desktop,2023-07-06,1,29,1,0,1,1,188.65,181.02,2024-08-17,136,1,188.65,,0.0,Beauty,PROD47077,0.07
CUST000012,20.0,Male,Chennai,Mobile,2022-01-15,37,15,3,18,6,2,72.15,36.62,2024-07-04,180,2,72.15,Low,0.0,Electronics,PROD33351,0.26
CUST000013,39.0,Male,Bangalore,Mobile,2022-07-26,11,17,13,9,4,2,55.72,27.87,2024-12-23,8,2,55.72,Very Low,0.0,Electronics,PROD41324,0.12
CUST000014,21.0,Male,Delhi,Mobile,2024-10-21,56,16,27,27,6,2,26.38,13.09,2024-11-22,39,2,26.38,Low,0.19,Beauty,PROD34858,0.28
CUST000015,35.0,Male,Kolkata,Desktop,2021-11-07,26,33,7,0,2,3,66.68,20.32,2024-12-06,25,3,66.68,Low,0.0,Beauty,PROD46775,0.18
CUST000016,36.0,Male,Mumbai,Desktop,2024-06-22,27,19,19,13,3,2,101.56,49.03,2024-11-23,38,2,101.56,Very Low,0.17,Beauty,PROD72863,0.21
CUST000017,40.0,Male,Kolkata,Mobile,2022-01-08,41,19,21,14,4,2,305.49,146.65,2024-11-23,38,2,305.49,Very Low,0.55,Books,PROD75192,0.2
CUST000018,57.0,Other,Mumbai,Mobile,2022-07-13,51,19,21,0,3,1,149.56,151.24,2024-12-01,30,1,149.56,Very Low,0.14,Beauty,PROD76563,0.32
CUST000019,34.0,Male,Chennai,Mobile,2024-04-01,36,16,1,8,3,2,40.925999999999995,21.54,2024-12-23,8,2,40.925999999999995,Very Low,0.0,Fashion,PROD80077,0.18
CUST000020,66.0,Male,Mumbai,Mobile,2023-01-21,62,22,16,2,2,1,9.83,9.81,2024-12-25,6,1,9.83,Very Low,0.26,Books,PROD31156,0.21
CUST000021,39.0,Male,Bangalore,Tablet,2023-09-14,95,24,75,63,14,1,184.35,183.06,2024-11-27,34,1,184.35,Low,0.37,Books,PROD62750,0.7
CUST000022,32.0,Female,Kolkata,Mobile,2023-10-28,75,12,41,18,9,1,91.85549999999999,96.69,2024-11-25,36,1,91.85549999999999,Low,0.25,Electronics,PROD26372,0.43
CUST000023,31.0,Female,Bangalore,Desktop,2024-05-27,64,23,36,36,7,0,0.0,28.43,2024-05-10,235,0,0.0,Very Low,0.39,Books,PROD22336,0.4
CUST000024,36.0,Female,Hyderabad,Mobile,2022-06-22,40,15,7,9,5,2,97.82,50.41,2024-11-06,55,2,97.82,Very Low,0.23,Home,PROD99725,0.18
CUST000025,35.0,Female,Chennai,Mobile,2023-07-23,35,16,20,34,6,0,0.0,29.63,2024-01-16,350,0,0.0,Very Low,0.3,Books,PROD44112,0.26
CUST000026,61.0,Male,Hyderabad,Desktop,2024-10-22,56,18,1,8,3,1,46.8,44.4,2024-10-23,69,1,46.8,Very Low,0.02,Home,PROD71873,0.11
CUST000027,26.0,Female,Kolkata,Mobile,2022-09-05,19,19,7,4,3,0,0.0,10.4,2024-04-05,270,0,0.0,Very Low,0.13,Fashion,PROD35031,0.13
CUST000028,29.0,Male,Delhi,Tablet,2023-10-23,72,16,26,31,4,0,0.0,79.2,2024-06-09,205,0,0.0,Very Low,0.0,Books,PROD17900,0.3
CUST000029,42.0,Female,,Mobile,2022-07-26,20,16,1,0,2,3,155.01,51.04,2024-12-19,12,3,155.01,Very Low,0.18,Electronics,PROD36373,0.08
CUST000030,64.0,Female,Mumbai,Mobile,2022-07-18,124,15,54,22,4,0,0.0,98.5,2024-09-06,116,0,0.0,Low,0.15,Home,PROD61243,0.36
CUST000031,34.0,Male,,Desktop,2023-07-17,37,27,20,6,3,0,0.0,547.2242586749234,2024-03-14,292,0,0.0,Very Low,0.22,Sports,PROD74505,0.21
CUST000032,61.0,Male,Mumbai,Mobile,2022-09-27,41,16,10,3,4,2,95.25,49.21,2024-12-26,5,2,95.25,Very Low,0.19,Books,PROD25826,0.15
CUST000033,22.0,Female,Bangalore,Mobile,2023-01-24,34,13,3,9,3,0,0.0,14.68,2024-02-05,330,0,0.0,Low,0.08,Electronics,PROD52322,0.07
CUST000034,34.0,Male,Mumbai,Mobile,2024-08-13,47,20,31,21,3,1,28.15,29.45,2024-12-05,26,1,28.15,Very Low,0.21,Beauty,PROD26643,0.21
CUST000035,39.0,Male,Mumbai,Desktop,2023-11-14,16,29,21,18,3,0,0.0,122.07,2024-02-19,316,0,0.0,Low,0.18,Fashion,PROD70556,0.3
CUST000036,66.0,Female,Mumbai,Mobile,2022-09-02,70,20,9,7,5,2,27.98,13.32,2024-12-17,14,2,27.98,Very Low,0.16,Fashion,PROD35673,0.17
CUST000037,38.0,Female,Chennai,Mobile,2023-01-11,39,21,4,7,3,1,279.16,269.71,2024-12-09,22,1,279.16,Low,0.17,Home,PROD94580,0.21
CUST000038,32.0,Other,Bangalore,Mobile,2022-05-05,53,19,1,0,1,0,0.0,34.32,2024-07-26,158,0,0.0,,0.14,Fashion,PROD90765,0.19
CUST000039,18.0,Female,Delhi,Mobile,2022-06-14,80,17,11,0,1,0,0.0,46.25,2024-05-06,239,0,0.0,Very Low,0.05,Fashion,PROD68990,0.26
CUST000040,51.0,Female,Kolkata,Desktop,2021-01-25,36,21,15,9,2,2,209.665,110.35,2024-10-26,66,2,209.665,Low,0.06,Electronics,PROD32725,0.16
CUST000041,,Female,Mumbai,Mobile,2022-06-07,51,21,3,8,5,2,28.74,14.04,2024-12-08,23,2,28.74,Very Low,0.0,Fashion,PROD48023,0.15
CUST000042,25.0,Male,Pune,Desktop,2024-02-20,59,20,25,15,5,1,152.81,146.7,2024-12-07,24,1,152.81,Very Low,0.15,Home,PROD38428,0.17
CUST000043,50.0,Male,Bangalore,Mobile,2021-07-13,22,20,4,0,2,0,0.0,103.96,2024-02-10,325,0,0.0,Very Low,0.33,Books,PROD49405,0.09
CUST000044,19.0,Male,Mumbai,Desktop,2024-08-07,11,18,29,20,12,3,189.86,59.36,2024-12-21,10,3,189.86,Low,0.0,Sports,PROD99220,0.29
CUST000045,23.0,Female,Hyderabad,Desktop,2023-08-01,1,30,32,17,4,1,12.35,12.88,2024-12-18,13,1,12.35,Low,0.31,Books,PROD24602,0.33
CUST000046,44.0,Male,Chennai,Desktop,2023-06-16,19,30,1,7,2,0,0.0,66.52,2024-02-05,330,0,0.0,,0.02,Sports,PROD91701,0.21
